"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Jan-2025","EQ","1,615.00","1,617.00","1,593.30","1,609.70","1,594.00","1,598.85","1,601.48","1,779.00","1,007.00","36,69,685","5,87,69,19,268.40","1,28,800"
"02-Jan-2025","EQ","1,599.90","1,619.60","1,588.40","1,595.70","1,613.00","1,609.70","1,608.78","1,779.00","1,007.00","37,28,040","5,99,76,12,867.30","1,89,267"
"01-Jan-2025","EQ","1,593.00","1,606.55","1,584.05","1,587.75","1,597.95","1,595.70","1,594.42","1,779.00","1,007.00","14,05,565","2,24,10,59,050.30","63,674"
"31-Dec-2024","EQ","1,583.00","1,597.20","1,563.35","1,586.90","1,593.40","1,587.75","1,585.59","1,779.00","1,007.00","22,49,626","3,56,69,95,283.15","1,15,546"
"30-Dec-2024","EQ","1,605.00","1,613.05","1,581.10","1,599.85","1,590.65","1,586.90","1,597.39","1,779.00","1,007.00","44,38,130","7,08,94,04,378.55","1,78,966"
"27-Dec-2024","EQ","1,599.50","1,628.45","1,596.30","1,599.50","1,605.55","1,599.85","1,608.44","1,779.00","989.65","25,59,578","4,11,69,15,359.65","1,01,745"
"26-Dec-2024","EQ","1,583.90","1,606.85","1,581.10","1,583.90","1,600.45","1,599.50","1,597.33","1,779.00","989.65","34,00,479","5,43,16,93,999.45","1,07,771"
"24-Dec-2024","EQ","1,590.00","1,598.80","1,575.00","1,586.90","1,583.00","1,583.90","1,588.66","1,779.00","989.65","36,10,076","5,73,51,71,342.40","1,69,345"
"23-Dec-2024","EQ","1,586.00","1,607.45","1,578.35","1,578.10","1,585.00","1,586.90","1,591.16","1,779.00","989.65","43,63,599","6,94,31,95,642.05","1,49,394"
"20-Dec-2024","EQ","1,610.00","1,622.30","1,573.40","1,600.30","1,587.00","1,578.10","1,591.74","1,779.00","960.00","97,38,879","15,50,17,84,321.30","1,69,338"
"19-Dec-2024","EQ","1,586.40","1,609.75","1,585.45","1,601.90","1,599.00","1,600.30","1,600.28","1,779.00","960.00","58,65,855","9,38,69,99,692.40","1,58,170"
"18-Dec-2024","EQ","1,621.40","1,623.00","1,596.10","1,615.30","1,601.40","1,601.90","1,606.40","1,779.00","960.00","39,05,144","6,27,32,28,825.45","1,02,635"
"17-Dec-2024","EQ","1,650.50","1,658.65","1,608.50","1,662.55","1,616.00","1,615.30","1,623.16","1,779.00","960.00","61,82,486","10,03,51,68,733.95","1,74,466"
"16-Dec-2024","EQ","1,681.75","1,687.00","1,660.15","1,681.75","1,663.00","1,662.55","1,667.05","1,779.00","960.00","43,75,126","7,29,35,58,107.15","1,28,634"
"13-Dec-2024","EQ","1,618.00","1,685.00","1,606.80","1,610.55","1,682.00","1,681.75","1,654.72","1,779.00","960.00","1,29,00,707","21,34,70,81,835.20","3,09,678"
"12-Dec-2024","EQ","1,578.50","1,617.90","1,578.50","1,586.00","1,610.00","1,610.55","1,605.53","1,779.00","960.00","1,31,20,939","21,06,59,96,458.85","2,96,489"
"11-Dec-2024","EQ","1,588.00","1,588.00","1,571.20","1,578.65","1,586.95","1,586.00","1,580.24","1,779.00","960.00","38,53,182","6,08,89,65,522.80","1,31,818"
"10-Dec-2024","EQ","1,610.55","1,611.85","1,570.05","1,602.55","1,580.05","1,578.65","1,580.99","1,779.00","960.00","1,46,45,786","23,15,48,51,794.85","2,61,312"
"09-Dec-2024","EQ","1,595.90","1,605.90","1,589.05","1,597.85","1,604.00","1,602.55","1,600.86","1,779.00","960.00","42,64,409","6,82,67,40,662.20","1,21,567"
"06-Dec-2024","EQ","1,618.00","1,624.65","1,594.80","1,615.35","1,597.75","1,597.85","1,605.60","1,779.00","960.00","42,96,866","6,89,90,26,930.30","1,47,791"
"05-Dec-2024","EQ","1,600.00","1,622.05","1,585.35","1,584.10","1,613.25","1,615.35","1,605.51","1,779.00","960.00","1,03,24,005","16,57,53,10,077.75","2,89,816"
"04-Dec-2024","EQ","1,629.75","1,630.50","1,582.40","1,620.55","1,583.65","1,584.10","1,592.89","1,779.00","960.00","87,72,014","13,97,28,58,885.90","2,86,888"
"03-Dec-2024","EQ","1,652.90","1,652.90","1,613.15","1,643.60","1,618.90","1,620.55","1,622.78","1,779.00","960.00","91,31,055","14,81,77,37,498.65","1,78,499"
"02-Dec-2024","EQ","1,627.15","1,646.20","1,617.20","1,627.15","1,642.00","1,643.60","1,636.44","1,779.00","960.00","37,90,108","6,20,22,83,532.30","1,90,206"
"29-Nov-2024","EQ","1,551.15","1,648.90","1,551.15","1,560.40","1,629.00","1,627.15","1,625.07","1,779.00","960.00","1,07,75,801","17,51,14,26,034.20","3,51,472"
"28-Nov-2024","EQ","1,571.00","1,588.50","1,556.95","1,577.65","1,564.95","1,560.40","1,566.45","1,779.00","960.00","67,14,728","10,51,82,83,541.95","2,21,954"
"27-Nov-2024","EQ","1,569.15","1,583.75","1,554.15","1,577.25","1,577.00","1,577.65","1,571.96","1,779.00","960.00","49,82,785","7,83,27,37,320.30","1,62,967"
"26-Nov-2024","EQ","1,590.00","1,604.85","1,566.00","1,578.75","1,577.95","1,577.25","1,579.11","1,779.00","960.00","40,30,593","6,36,47,54,302.00","1,43,576"
"25-Nov-2024","EQ","1,581.95","1,609.25","1,562.55","1,569.30","1,583.45","1,578.75","1,580.42","1,779.00","960.00","1,21,55,641","19,21,09,95,879.00","2,12,297"
"22-Nov-2024","EQ","1,533.00","1,575.00","1,520.20","1,525.15","1,568.40","1,569.30","1,551.40","1,779.00","941.95","76,40,321","11,85,31,93,827.45","1,88,502"
"21-Nov-2024","EQ","1,538.00","1,542.05","1,511.00","1,525.50","1,524.00","1,525.15","1,521.54","1,779.00","941.95","73,56,679","11,19,34,72,815.00","2,84,902"
"19-Nov-2024","EQ","1,537.00","1,558.00","1,519.30","1,537.00","1,524.30","1,525.50","1,545.47","1,779.00","941.95","62,38,241","9,64,09,90,222.00","1,51,761"
"18-Nov-2024","EQ","1,568.95","1,568.95","1,529.45","1,550.50","1,542.20","1,537.00","1,542.26","1,779.00","941.95","48,16,078","7,42,76,37,407.05","1,93,391"
"14-Nov-2024","EQ","1,550.00","1,568.00","1,536.55","1,550.45","1,554.40","1,550.50","1,546.01","1,779.00","933.80","51,39,154","7,94,51,64,690.00","1,67,251"
"13-Nov-2024","EQ","1,559.90","1,572.50","1,546.35","1,555.65","1,552.00","1,550.45","1,555.69","1,779.00","933.80","58,16,699","9,04,89,53,940.45","1,91,024"
"12-Nov-2024","EQ","1,568.80","1,595.00","1,550.10","1,560.55","1,552.55","1,555.65","1,570.70","1,779.00","933.80","44,79,934","7,03,66,45,512.50","1,92,555"
"11-Nov-2024","EQ","1,561.00","1,581.60","1,551.80","1,569.90","1,556.90","1,560.55","1,566.93","1,779.00","933.80","36,64,301","5,74,17,10,679.15","1,48,436"
"08-Nov-2024","EQ","1,571.00","1,579.50","1,558.85","1,575.80","1,570.30","1,569.90","1,570.07","1,779.00","929.00","30,96,384","4,86,15,24,408.10","1,83,724"
